TransID,CustID,TransTotal,TransNumItems,TransDesc
3063537,8437,60.64,6,JB50osGfIZN2qU2OklIArmo6pgdntlzDcy3wm7
3063565,28453,26.21,6,4OstPIccoCbhjgbLBifS2s
3063580,34291,31.25,14,2uVvmJHHR2tmWl8FlacDJjbpJBSv
3063659,5876,67.83,3,SaYMtgD0PYuGmQpxexML1Ak3G7WP
3063668,45968,15.98,2,FqHbQzIeIPRiCHBvxJf6DKpAysG
3063697,38387,63.9,11,46yg0rc1Fqg705iZlnSSPa5Qw7W2AA1JyoPHUML18aat5GJd
3063746,6861,83.25,10,XXi05C7sVAcRW48nP60LpI64PdzvoGa4gZ
3063754,10023,84.36,14,v5hh0k0BMHCSfsSJ0r2IfuJz2ukBGQ1czYROAP
3063784,1854,66.02,10,qF54STxjTblE3jy64ekEXLCX5yjtwdH
3063882,47791,61.64,4,RDbXQo2awKRO5kzIAGZ2rkwGO
3063915,26726,95.37,13,chI9NWBnmepGxhgjRe239ULGTpTXBG7uVR6k
3063936,34795,67.49,3,HjkKp6cyfDvhOYNrttCXhnXYasT3Y
3063944,27516,33.64,15,B8dWHYXIN4LsrbtZGdkMory1wD
3063969,22049,76.01,5,yfa3OjKw4kKMYKRLZsq4dOEzxknDbOXQQ0IGxlzAWX
3063970,28350,45.34,3,zBJajeCHt4p31hwEtELknRKPRxW
3063999,45980,56.15,2,x8ZMoPWsdbIeKsSH3WRnEjVmg4bnZi3yflUu
3064014,26954,63.3,12,BvvNH1lQJh1A3qc0cotBmTroFk
3064044,16139,28.29,9,1lklT2ektyhNpsquiYjVhfRu2rT3BvTyeo6eRsCGfumNz2HQf
3064063,14824,42.39,10,ShJBC6pdrgm8kryDgrY7
3064076,19047,86.22,12,dmaTU6Yt0OMJB1ieFwYSV96Px2qARWZc
3064091,32397,46.81,10,zBNc0hMKQaiV0UHXMsrANez
3064095,16051,29.18,10,wXlyjCQlVJ9Hoekh56UH094UCwYksIahFrAg74rLIYUSZRUg
3064114,27407,76.18,2,A8oJ0atGvvBgyX3nf6yr
3064127,42187,81.61,13,bPERDAmhOuDvId97Jk5f1vJsiZW5mHDbkpzhd4Dy
3064131,24177,35.71,11,txOKvsTBRpZJRk9Np09eF
3064136,20805,73.3,4,f98DCUj8bKvpVMawupgOLwJliVavHQGJ1V
3064139,43423,27.19,14,PNrg7jhcm31J2JarbcEEfIBL
3064178,37753,74.58,2,AF2bLSRz0IkWIs7J3WDlsv3OcwpYvzqGX6hd
3064247,41494,51.73,7,ivjxy0qWp97pqP7AfgU1lknVAA63v9MA3mWM55tsFYaAQ
3064298,18024,61.14,9,2B8KlmXF4eljoc8pwmroJKVl4rWK3gaJPWfyy2cLT6nMm29jHb
3064319,22798,87.94,10,zk25FxVUqfaclytam04AW8NGM3pmiWjkIXOZKQNYcMbiB
3064323,15217,64.77,12,nlCzmu1TT06npqQEz8M7ng
3064331,13318,84.43,13,P2N41xdRMV9ZHTszbfOcewTBixNMAUNiNP74wdV5ma
3064338,22933,94.12,15,bBlZCjGGuNe6A38zFUdcqjehzc0SId2IY73fS3
3064392,9403,89.77,9,4ucaHAOgq0nhx0nww4LO3BezcdQ9RP05XRvE7spJfTWR4L3z
3064410,39261,61.65,15,KPjqQtMKtn2wYxowshPHYN2QbGVMamGttZ63
3064458,10703,29.59,15,W49zdPXQsLud7IT2aapVF5qdjdZ1UCkyCkzJNeBtmntCdg
3064541,24086,80.16,4,LO7g8GiuoqBSf3Dj424o4c1IlEm9JjAKE5nLUDPqZMJsAL
3064556,48729,51.46,3,lrRr5WWCgoA06HExMa5adRBs2Oj2smeRxZiiuB
3064573,33594,84.77,9,o4eI36x8syetXnNTw4Q5yTjvqEX6r8FF
3064600,32150,89.56,15,KIwRoo3wQnaFul4tyfRJKwPa7pLj6ZmseMJmQKTWvOWF
3064657,25893,98.68,7,TBAZip6SUJsi1OrsC33UnfT6SgVPnZqIC89iB
3064672,890,40.26,7,6GCzJgYBOaFSYF2SxhBUZwfxG00
3064692,14713,31.61,13,HGcm257fVrUVSP7unsRuAgO
3064720,7030,67.61,15,1o22Df3kf95X0g1aMX5qxGK9dsTvn5O
3064728,35052,54.7,10,MHZWWm1wZinhXl25UTKXCUtjQMmqXA
3064730,12032,20.91,8,LuMcWNiUDTBw89bYzJnRnzVO8J
3064744,2802,50.9,10,8kTL2Qa83BE7rxQkzj3Dknf
3064779,45516,37.09,4,UC7LkUKKh71tfrz0hv5y7HbINOeGcRi7BAgJB0sElk3
3064798,37807,49.7,11,ALC04PiwUWZTT3xr8tEaLT35DZJav5j
3064822,25634,42.27,2,isuBDFWiE5bmxV4kXzNdYHXy6B19hE4RmNkeguqEP2
3064842,46155,81.53,6,2q6KZj0gsFOSx8eGlAnheyetZXlHg
3064846,12108,30.74,13,mynH330AmpkOFZXJOxI6R
3064869,44352,10.64,6,YOlQZuNoNJtDmCESPC5Ov
3064912,43417,45.21,9,NYcCeSoZjQkBqn0uRx0TziUkeXuabCd3Zqc4LKdXlJN
3064926,45263,14.27,7,YyKls2AxdjGTCyfngTwLIs7aFeYE9
3064986,45956,56.9,13,J9kFQCBIUujq03drnOFqNXiCwM3dZljUb1
3065002,33212,99.47,4,FOI1SlQK62ALTmRTCMZDtSXiqysXwXu1
3065043,12736,98.75,7,DXirvIod3TBoeCsDNWWRW6s95uH7KKd0msjxrwMV
3065045,13254,17.64,5,74paLNszWjllx3nkhbKknYOrlbOHayJzIHbePHcJL
3065087,29156,79.79,14,HxUaYZ2P2n46PyH8D4az1
3065150,29689,84.45,8,pza7ThHMxShEAXNaQzOlSzwLxyeeQEjk5FklSfIcjjAn
3065166,16192,61.75,7,60FcPwqCdMLTs6IvejjFT1UWnFGCOj3IcyXKXcpqGBBwV
3065194,21567,68.45,7,Bu825vTwVdoyHqhj32UvUnoXFB4VfA5hiVe83G
3065198,8074,95.89,12,mtcuvfqYB5MmIhNcNZ9DR5Orarr6w8221Kr8O8cBEGkgQw
3065216,43210,34.76,8,bvmVbbQZa0ISY0E1dKV2b
3065226,23864,37.58,12,Fw6siZJUUY45R2hd8Xq2iq
3065227,40969,36.32,15,q9P4RnfSrDJkvwzySctECkZf6IcEHkn5XEHKuL
3065315,28873,89.32,12,5K2t4SILZ9etdCT1NHu2jl4xX48nfew8V17s7Nl7Zia5k8EqUK
3065317,3017,42.98,2,3ym4irt5i0F3XVUGO2MrnkLKJM4VjNTAf4Q9
3065342,39914,39.8,12,hZ0A3Q1CEeCTLYbFsB58R5a
3065353,20854,56.99,1,woS1dMrDhR59lji5MN1RFyucUH1o1pT56RW6VELnI
3065357,924,91.46,1,LJv0np7SZXDL1XCxjDSNlTf5bRkvOlEyH5r
3065381,43991,71.23,14,H4ZoJwoC04IjTJo0yaATjbNuOskSJ6nOReYsCAk0QoRA
3065398,13768,28.12,4,A8pmbeXBoYyS6pATS9QoIicdQLeYDUPA
3065411,45449,11.78,5,CxJAht22ayAAXUSL1XfuF6LH7VRkevntyloiWG0x
3065413,12145,24.24,5,CVqrGVsIVf4rHB2RMSEcu0Wuyt
3065428,2560,53.45,5,S73IbCOX9qxEZaChGOw0LfJ
3065462,25775,67.85,8,SjCJaN7act57aQq4HbfVuF5qk
3065502,47485,61.14,14,689OEkRvigFt5z0eIavmbmf3Yo13E
